"Country,Other"        ,TotalCases    ,NewCases   ,TotalDeaths ,NewDeaths ,TotalRecovered ,NewRecovered ,ActiveCases  ,"Serious,Critical" ,Tot Cases/1M pop ,Deaths/1M pop ,TotalTests    ,Tests/1M pop ,Population
Malawi                 ,"46,417"      ,           ,"1,410 "    ,          ,"35,792"       ,             ,"9,215"      ,285                ,"2,362"          ,72            ,"313,564"     ,"15,958"     ,"19,649,112 "
Madagascar             ,"42,581"      ,+20        ,939         ,+2        ,"40,999"       ,+9           ,643          ,29                 ,"1,497"          ,33            ,"223,976"     ,"7,876"      ,"28,438,686 "
Angola                 ,"41,405"      ,           ,977         ,          ,"35,082"       ,             ,"5,346"      ,8                  ,"1,220"          ,29            ,"681,443"     ,"20,079"     ,"33,938,563 "
Sudan                  ,"37,138"      ,           ,"2,776 "    ,          ,"30,867"       ,             ,"3,495"      ,                   ,827              ,62            ,"234,414"     ,"5,218"      ,"44,925,184 "
Trinidad and Tobago    ,"36,884"      ,           ,"1,018 "    ,          ,"30,043"       ,             ,"5,823"      ,22                 ,"26,266"         ,725           ,"257,351"     ,"183,263"    ,"1,404,273 "
Réunion                ,"34,615"      ,           ,266         ,          ,"32,036"       ,             ,"2,313"      ,40                 ,"38,374"         ,295           ,"103,924"     ,"115,208"    ,"902,052 "
Cabo Verde             ,"33,452"      ,           ,297         ,          ,"32,617"       ,             ,538          ,23                 ,"59,486"         ,528           ,"194,917"     ,"346,610"    ,"562,352 "
Malta                  ,"33,370"      ,+172       ,420         ,          ,"30,356"       ,+65          ,"2,594"      ,1                  ,"75,364"         ,949           ,"1,061,236"   ,"2,396,730"  ,"442,785 "
Australia              ,"32,588"      ,+162       ,916         ,+1        ,"29,743"       ,             ,"1,929"      ,18                 ,"1,263"          ,35            ,"23,632,836"  ,"915,586"    ,"25,811,701 "
French Guiana          ,"29,419"      ,           ,170         ,          ,"9,995"        ,             ,"19,254"     ,25                 ,"95,886"         ,554           ,"313,807"     ,"1,022,796"  ,"306,813 "
Syria                  ,"25,853"      ,           ,"1,905 "    ,          ,"21,933"       ,             ,"2,015"      ,                   ,"1,440"          ,106           ,"103,566"     ,"5,771"      ,"17,947,324 "
Gabon                  ,"25,309"      ,           ,163         ,          ,"25,050"       ,             ,96           ,8                  ,"11,096"         ,71            ,"943,371"     ,"413,592"    ,"2,280,922 "
Guinea                 ,"24,823"      ,           ,195         ,          ,"23,719"       ,             ,909          ,24                 ,"1,838"          ,14            ,"489,365"     ,"36,231"     ,"13,506,792 "
